Shop Name,Reviews,Address,Phone,Instagram,Facebook,TikTok,Website,City,State,Country,Email,Rating,Scraped At
Tattoo 34,333,"4035 SE Hawthorne Blvd, Portland, OR 97214",503) 235-3606,https://www.instagram.com/tattoo34pdx,N/A,https://www.tiktok.com/@glowymariia,http://www.tattoo34pdx.com,Portland,OR,USA,info@tattoo34pdx.com; user@domain.com,4.9,2026-06-15 02:56:51
Ever True Tattoo,196,"213 SW Ash St, Portland, OR 97204",971) 563-5093,https://www.instagram.com/evertruetattoo,https://www.facebook.com/EverTrueTattoo,https://www.tiktok.com/@forevertruetattoo,http://www.evertruetattoo.com,Portland,OR,USA,ambaileytattoo@gmail.com; daytonskuse@gmail.com; evertruetattoo@gmail.com; keshorror@gmail.com; scott.umeki@gmail.com; sequoiarosetattoo@gmail.com,4.7,2026-06-15 02:58:09
Fortune Tattoo Pdx,82,"6654 SE Milwaukie Ave, Portland, OR 97202",503) 234-7071,https://www.instagram.com/ms.mikki_fortunetattoo,N/A,https://www.tiktok.com/@inkhearttattoopdx,https://www.msmikki503.com,Portland,OR,USA,fortunetattoopdx@gmail.com; user@domain.com,4.9,2026-06-15 02:59:37
Historic Tattoo - Portland Tattoo Shop,306,"2001 SE 50th Ave, Portland, OR 97215",503) 236-3440,https://www.instagram.com/historictattoo,https://www.facebook.com/fortunetattoo,https://www.tiktok.com/@tysonarndt,http://www.historictattoo.com,Portland,OR,USA,historictattoo@gmail.com,0,2026-06-15 03:01:22
Sea Tramp Tattoo Co walkins after 4,115,"1339 SE 8th Ave, Portland, OR 97214",503) 224-4668,https://www.instagram.com/seatramptattoo,https://www.facebook.com/seatramptattoocompany,https://www.tiktok.com/@havoc.inks,http://www.seatramptattoo.com,Portland,OR,USA,231-9784seatramptattoo@yahoo.com; seatramptattoo@yahoo.com,0,2026-06-15 03:02:41
Bigtime Walk-In Tattoo,259,"3949 N Williams Ave, Portland, OR 97227",503) 265-8146,https://www.instagram.com/bigtimetattoopdx,N/A,N/A,https://bigtimepdx.com,Portland,OR,USA,info@bigtimepdx.com; tysondraws@yahoo.com; user@domain.com,4.9,2026-06-15 03:04:20
Portland Lady Luck Tattoo,190,"613 SE Morrison St, Portland, OR 97214",503) 236-2833,https://www.instagram.com/ladylucktattoopdx,https://www.facebook.com/pdxladylucktattoo,N/A,http://www.ladylucktattoopdx.com,Portland,OR,USA,portlandladyluck@gmail.com,4.7,2026-06-15 03:05:38
Icon Tattoo,165,"813 N Russell St, Portland, OR 97227",503) 477-7157,https://www.instagram.com/icontattoo,N/A,https://www.tiktok.com/@kingz_artistry,http://www.icontattoostudio.com,Portland,OR,USA,Lianajoytattoo@gmail.com; icontattoostudio@gmail.com; user@domain.com,4.8,2026-06-15 03:06:38
Paradise Tattoo,87,"2219 N Vancouver Ave, Portland, OR 97227",N/A,https://www.instagram.com/paradisetattoopdx,N/A,https://www.tiktok.com/@haunteddermis,http://paradisetattoopdx.com,Portland,OR,USA,paradisetattoopdx@gmail.com; user@domain.com,5.0,2026-06-15 03:07:55
Birdhouse Tattoo,409,"5823 SE Powell Blvd, Portland, OR 97206",971) 340-5634,https://www.instagram.com/birdhouse.tattoo,N/A,https://www.tiktok.com/@birdhousetattoo,http://www.thebirdhousetattoo.com,Portland,OR,USA,Hello@thebirdhousetattoo.com; appointments@thebirdhousetattoo.com; user@domain.com,4.9,2026-06-15 03:09:05
