slug,url,target_keyword,current_position,word_count_est,h2_count,original_data,internal_links,backlinks_day1,kd, intent_match_pct,cwv_passing,score_known_factors,note_to_reach_80
animals,https://ink-flows.com/meaning/category/animals,animal tattoo meanings,unranked (new),1100,6,yes,11,0,TBD,95,yes,65,"Add depth to 2000+ words (+25 -> 90). Or launch backlinks (+10 -> 75/80)."
flowers,https://ink-flows.com/meaning/category/flowers,flower tattoo meanings,unranked (new),1100,6,yes,9,0,TBD,95,yes,65,"Add depth to 2000+ words (+25 -> 90). Or launch backlinks (+10 -> 75/80)."
nature,https://ink-flows.com/meaning/category/nature,nature tattoo meanings,unranked (new),1030,6,yes,8,0,TBD,95,yes,65,"Add depth to 2000+ words (+25 -> 90). Or launch backlinks (+10 -> 75/80)."
mythological,https://ink-flows.com/meaning/category/mythological,mythological tattoo meanings,unranked (new),1015,6,yes,10,0,TBD,95,yes,65,"Add depth to 2000+ words (+25 -> 90). Or launch backlinks (+10 -> 75/80)."
geometric,https://ink-flows.com/meaning/category/geometric,geometric tattoo meanings,unranked (new),350,6,yes,11,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90); largest category (15.7%) - priority."
religious,https://ink-flows.com/meaning/category/religious,religious tattoo meanings,unranked (new),350,6,yes,6,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90); high commercial intent."
cultural,https://ink-flows.com/meaning/category/cultural,cultural tattoo meanings,unranked (new),350,6,yes,7,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90); high commercial intent."
objects,https://ink-flows.com/meaning/category/objects,object tattoo meanings,unranked (new),350,6,yes,5,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
modern,https://ink-flows.com/meaning/category/modern,modern tattoo meanings,unranked (new),350,6,yes,4,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
birds,https://ink-flows.com/meaning/category/birds,bird tattoo meanings,unranked (new),350,6,yes,6,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
zodiac,https://ink-flows.com/meaning/category/zodiac,zodiac tattoo meanings,unranked (new),350,6,yes,8,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
insects,https://ink-flows.com/meaning/category/insects,insect tattoo meanings,unranked (new),350,6,yes,5,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
sea-life,https://ink-flows.com/meaning/category/sea-life,sea life tattoo meanings,unranked (new),350,6,yes,5,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
time,https://ink-flows.com/meaning/category/time,time tattoo meanings,unranked (new),330,6,yes,3,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90); smallest category (4.3%)."
words,https://ink-flows.com/meaning/category/words,word tattoo meanings,unranked (new),350,6,yes,4,0,TBD,95,yes,65,"Thin page. Add depth to 2000+ words (+25 -> 90)."
